TIME,SIMTIME,CAMERA,GROUNDID,LABEL,X,Y,Z,ERROR
37036,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4050
37036,311,334.6480,176.0392,0.0334,---,338.8373,198.1099,0.1289, 6.5888
37086,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4050
37086,311,334.6480,176.0392,0.0334,---,338.8377,197.8750,0.1289, 6.6745
37136,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
37136,311,334.6480,176.0392,0.0334,---,338.8380,197.6401,0.1289, 6.7169
37186,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 5.3984
37186,311,334.6480,176.0392,0.0334,---,338.8384,197.4051,0.1289, 6.7744
37236,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.3630
37236,311,334.6480,176.0392,0.0334,---,338.8388,197.1701,0.1289, 6.8641
37286,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4050
37286,311,334.6480,176.0392,0.0334,---,338.8392,196.9352,0.1289, 6.6926
37336,311,334.6480,176.0392,0.0334,---,338.8395,196.7002,0.1289, 6.4347
37336,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
37386,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
37386,311,334.6480,176.0392,0.0334,---,338.8398,196.4652,0.1289, 6.5480
37436,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
37436,311,334.6480,176.0392,0.0334,---,338.8400,196.2302,0.1289, 6.6074
37486,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4046
37486,311,334.6480,176.0392,0.0334,---,338.8403,195.9952,0.1289, 6.6954
37536,311,334.6480,176.0392,0.0334,---,338.8405,195.7601,0.1289, 6.6981
37536,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.4050
37586,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.3630
37586,311,334.6480,176.0392,0.0334,---,338.8408,195.5251,0.1289, 6.7508
37636,311,334.6480,176.0392,0.0334,---,338.8410,195.2901,0.1289, 6.8093
37636,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.2471
37686,311,334.6480,176.0392,0.0334,---,338.8413,195.0550,0.1289, 6.8606
37686,304,334.6480,176.0392,0.0334,---,314.1947,199.2026,0.1289, 6.3630
37736,311,334.6480,176.0392,0.0334,---,338.8415,194.8199,0.1289, 6.4146
